model,class,auroc,auprc,precision,recall,f1,threshold,positives
DenseNet-121,Atelectasis,0.7647313667409779,0.3300686629239501,0.3154679802955665,0.488258615431534,0.3832894421833852,0.699999988079071,3279
DenseNet-121,Cardiomegaly,0.8871298475100253,0.3384186226568889,0.425364758698092,0.3545369504209542,0.386734693877551,0.949999988079071,1069
DenseNet-121,Effusion,0.8253076945034843,0.5034338079554218,0.4543616855854455,0.6273078574495492,0.5270087474073406,0.800000011920929,4658
DenseNet-121,Infiltration,0.6980503779245368,0.3951181066556493,0.328921568627451,0.7684882198952879,0.4606708513142409,0.550000011920929,6112
DenseNet-121,Mass,0.8194560976190165,0.3091484879216009,0.3356643356643357,0.4393592677345537,0.3805748265609514,0.8500000238418579,1748
DenseNet-121,Nodule,0.7547240774234127,0.22312493376673,0.2331120655993752,0.3678373382624769,0.2853728489483748,0.75,1623
DenseNet-121,Pneumonia,0.7052027467745691,0.0481763516293113,0.0624338624338624,0.1063063063063063,0.0786666666666666,0.8999999761581421,555
DenseNet-121,Pneumothorax,0.8424702118428047,0.3890731944358209,0.3953672018952356,0.5636022514071295,0.4647277227722772,0.800000011920929,2665
DenseNet-121,Consolidation,0.7466928769095127,0.1609204878367185,0.1386877576027626,0.6859504132231405,0.2307264640474425,0.699999988079071,1815
ViT-B/16,Atelectasis,0.7369872092961761,0.2908532436606722,0.2514604699467739,0.5907288807563281,0.3527590602804589,0.6499999761581421,3279
ViT-B/16,Cardiomegaly,0.8729501551963715,0.3184865766447107,0.363244176013805,0.3938260056127222,0.3779174147217235,0.8999999761581421,1069
ViT-B/16,Effusion,0.800532689675187,0.465172802044081,0.4180215772678924,0.5905968226706741,0.4895453332146988,0.800000011920929,4658
ViT-B/16,Infiltration,0.6862482009671514,0.3822602068658778,0.3262365591397849,0.7446007853403142,0.4536935499950154,0.550000011920929,6112
ViT-B/16,Mass,0.7701250991212846,0.2393651812287767,0.2749313815187557,0.3438215102974828,0.3055414336553126,0.8500000238418579,1748
ViT-B/16,Nodule,0.6960599595267617,0.1545783432090699,0.1393458870168483,0.4331484904497844,0.2108578284343131,0.6499999761581421,1623
ViT-B/16,Pneumonia,0.6834299856343704,0.0442477224888401,0.0603621730382293,0.054054054054054,0.0570342205323193,0.8999999761581421,555
ViT-B/16,Pneumothorax,0.8130579437144945,0.3334229666419656,0.3444963655244029,0.4979362101313321,0.4072425962866349,0.800000011920929,2665
ViT-B/16,Consolidation,0.7298295755008715,0.1460270041505211,0.1567890314020344,0.390633608815427,0.2237651885750355,0.800000011920929,1815
